symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
20Microns,INE592B01016,20-01-2023,NSE,EQ,EQ,buy,FALSE,1,83,75805966,1.3E+15,2023-01-20T09:57:27
20Microns,INE592B01016,09-03-2023,NSE,EQ,EQ,buy,FALSE,11,75.35,76337448,1.3E+15,2023-03-09T10:28:56
20Microns,INE592B01016,09-03-2023,NSE,EQ,EQ,buy,FALSE,4,75.4,76337449,1.3E+15,2023-03-09T10:28:56
20Microns,INE592B01016,09-03-2023,NSE,EQ,EQ,buy,FALSE,2,75.55,76540400,1.3E+15,2023-03-09T10:47:10
20Microns,INE592B01016,09-03-2023,NSE,EQ,EQ,buy,FALSE,3,75.4,77898330,1.3E+15,2023-03-09T13:23:56
ambuja,INE245A01021,09-03-2023,NSE,EQ,EQ,buy,FALSE,1,210.75,77909059,1.3E+15,2023-03-09T13:25:18
ambuja,INE245A01021,09-03-2023,NSE,EQ,EQ,buy,FALSE,1,210.15,78170909,1.3E+15,2023-03-09T13:52:40
20Microns,INE592B01016,09-03-2023,BSE,EQ,B,sell,FALSE,1,74.96,31338400,1.67835E+18,2023-03-09T14:00:50
bajaj,INE123F01029,27-03-2023,NSE,EQ,EQ,sell,FALSE,1,28.1,51673320,1.2E+15,2023-03-27T11:28:00
bajaj,INE123F01029,27-03-2023,NSE,EQ,EQ,buy,FALSE,1,28.15,53337451,1.2E+15,2023-03-27T14:38:22
havels,INE758T01015,28-03-2023,NSE,EQ,EQ,sell,FALSE,1,49.5,76607622,1.3E+15,2023-03-28T11:21:18
havels,INE758T01015,28-03-2023,NSE,EQ,EQ,buy,FALSE,1,49.45,76625386,1.3E+15,2023-03-28T11:23:10
havels,INE123F01029,29-03-2023,NSE,EQ,EQ,sell,FALSE,20,27.95,52598803,1.2E+15,2023-03-29T13:47:15
havels,INE123F01029,29-03-2023,NSE,EQ,EQ,buy,FALSE,20,27.8,52685444,1.2E+15,2023-03-29T13:57:06
hcl,INE203G01027,31-03-2023,NSE,EQ,EQ,buy,FALSE,147,437.2,26206984,1.1E+15,2023-03-31T10:09:34
hcl,INE203G01027,31-03-2023,NSE,EQ,EQ,buy,FALSE,9,437.3,26206985,1.1E+15,2023-03-31T10:09:34
hcl,INE203G01027,31-03-2023,NSE,EQ,EQ,buy,FALSE,94,437.35,26206986,1.1E+15,2023-03-31T10:09:34
hcl,INE203G01027,31-03-2023,NSE,EQ,EQ,sell,FALSE,250,438.25,26226592,1.1E+15,2023-03-31T10:10:52
hcl,INE203G01027,31-03-2023,NSE,EQ,EQ,buy,FALSE,115,435.45,26697174,1.1E+15,2023-03-31T10:46:33
hcl,INE203G01027,31-03-2023,NSE,EQ,EQ,buy,FALSE,47,435.4,26697170,1.1E+15,2023-03-31T10:46:33
hcl,INE203G01027,31-03-2023,NSE,EQ,EQ,buy,FALSE,50,435.4,26697171,1.1E+15,2023-03-31T10:46:33
hcl,INE203G01027,31-03-2023,NSE,EQ,EQ,buy,FALSE,10,435.45,26697172,1.1E+15,2023-03-31T10:46:33
hcl,INE203G01027,31-03-2023,NSE,EQ,EQ,buy,FALSE,11,435.45,26697173,1.1E+15,2023-03-31T10:46:33
hcl,INE203G01027,31-03-2023,NSE,EQ,EQ,buy,FALSE,17,435.45,26697175,1.1E+15,2023-03-31T10:46:33
hcl,INE203G01027,31-03-2023,NSE,EQ,EQ,sell,FALSE,111,436.05,26732178,1.1E+15,2023-03-31T10:49:41
hcl,INE203G01027,31-03-2023,NSE,EQ,EQ,sell,FALSE,9,436,26732179,1.1E+15,2023-03-31T10:49:41
hcl,INE203G01027,31-03-2023,NSE,EQ,EQ,sell,FALSE,50,436,26732180,1.1E+15,2023-03-31T10:49:41
hcl,INE203G01027,31-03-2023,NSE,EQ,EQ,sell,FALSE,8,436,26732181,1.1E+15,2023-03-31T10:49:41
hcl,INE203G01027,31-03-2023,NSE,EQ,EQ,sell,FALSE,40,436,26732182,1.1E+15,2023-03-31T10:49:41
hcl,INE203G01027,31-03-2023,NSE,EQ,EQ,sell,FALSE,32,436,26732183,1.1E+15,2023-03-31T10:49:41
infosys,INE388Y01029,03-04-2023,NSE,EQ,EQ,sell,FALSE,200,122.35,51446667,1.2E+15,2023-04-03T10:45:30
infosys,INE388Y01029,03-04-2023,NSE,EQ,EQ,buy,FALSE,200,122.65,51465730,1.2E+15,2023-04-03T10:47:19
infosys,INE388Y01029,03-04-2023,NSE,EQ,EQ,buy,FALSE,200,122.45,51471036,1.2E+15,2023-04-03T10:47:51
infosys,INE388Y01029,03-04-2023,NSE,EQ,EQ,sell,FALSE,200,122,51485767,1.2E+15,2023-04-03T10:49:14
infosys,INE388Y01029,03-04-2023,NSE,EQ,EQ,sell,FALSE,24,121.9,51489884,1.2E+15,2023-04-03T10:49:35
infosys,INE388Y01029,03-04-2023,NSE,EQ,EQ,sell,FALSE,15,121.9,51489882,1.2E+15,2023-04-03T10:49:35
infosys,INE388Y01029,03-04-2023,NSE,EQ,EQ,sell,FALSE,5,121.9,51489883,1.2E+15,2023-04-03T10:49:35
infosys,INE388Y01029,03-04-2023,NSE,EQ,EQ,sell,FALSE,52,121.9,51489879,1.2E+15,2023-04-03T10:49:35
infosys,INE388Y01029,03-04-2023,NSE,EQ,EQ,sell,FALSE,53,121.9,51489880,1.2E+15,2023-04-03T10:49:35
infosys,INE388Y01029,03-04-2023,NSE,EQ,EQ,sell,FALSE,101,121.9,51489881,1.2E+15,2023-04-03T10:49:35
infosys,INE388Y01029,03-04-2023,NSE,EQ,EQ,buy,FALSE,250,122.2,51508681,1.2E+15,2023-04-03T10:51:20
20Microns,INE592B01016,03-04-2023,BSE,EQ,B,buy,FALSE,3,72.11,25060600,1.68051E+18,2023-04-03T13:28:02
20Microns,INE592B01016,03-04-2023,BSE,EQ,B,sell,FALSE,3,71.7,25087700,1.68051E+18,2023-04-03T13:28:39
20Microns,INE592B01016,03-04-2023,NSE,EQ,EQ,buy,FALSE,3,71.9,77792763,1.3E+15,2023-04-03T13:29:17
20Microns,INE592B01016,05-04-2023,NSE,EQ,EQ,sell,FALSE,2,77.55,76414959,1.3E+15,2023-04-05T10:42:45
20Microns,INE592B01016,05-04-2023,NSE,EQ,EQ,sell,FALSE,5,77.5,76414960,1.3E+15,2023-04-05T10:42:45
20Microns,INE592B01016,05-04-2023,NSE,EQ,EQ,sell,FALSE,1,77.4,76414961,1.3E+15,2023-04-05T10:42:45
20Microns,INE592B01016,05-04-2023,NSE,EQ,EQ,sell,FALSE,10,77.2,76414962,1.3E+15,2023-04-05T10:42:45
20Microns,INE592B01016,05-04-2023,NSE,EQ,EQ,sell,FALSE,5,77.15,76414963,1.3E+15,2023-04-05T10:42:45
ambuja,INE245A01021,05-04-2023,NSE,EQ,EQ,sell,FALSE,2,193.1,76419287,1.3E+15,2023-04-05T10:43:12
ambuja,INE245A01021,05-04-2023,NSE,EQ,EQ,buy,FALSE,12,192.95,76445122,1.3E+15,2023-04-05T10:45:34
tcs,INE226A01021,10-04-2023,NSE,EQ,EQ,sell,FALSE,50,829,76250925,1.3E+15,2023-04-10T10:19:30
tcs,INE226A01021,10-04-2023,NSE,EQ,EQ,buy,FALSE,50,828,76277597,1.3E+15,2023-04-10T10:22:14
motherson,INE155A01022,10-04-2023,NSE,EQ,EQ,sell,FALSE,9,463.7,76680214,1.3E+15,2023-04-10T10:59:37
motherson,INE155A01022,10-04-2023,NSE,EQ,EQ,sell,FALSE,16,463.7,76680215,1.3E+15,2023-04-10T10:59:37
motherson,INE155A01022,10-04-2023,NSE,EQ,EQ,buy,FALSE,25,465,76836542,1.3E+15,2023-04-10T11:16:38
motherson,INE155A01022,10-04-2023,NSE,EQ,EQ,sell,FALSE,50,464,77466679,1.3E+15,2023-04-10T12:33:45
motherson,INE155A01022,10-04-2023,NSE,EQ,EQ,buy,FALSE,50,463.25,77566149,1.3E+15,2023-04-10T12:47:07
motherson,INE237A01028,11-04-2023,NSE,EQ,EQ,sell,FALSE,11,1835.5,50259530,1.2E+15,2023-04-11T09:24:22
motherson,INE237A01028,11-04-2023,NSE,EQ,EQ,sell,FALSE,9,1835.5,50259531,1.2E+15,2023-04-11T09:24:22
motherson,INE237A01028,11-04-2023,NSE,EQ,EQ,buy,FALSE,20,1833.8,50480717,1.2E+15,2023-04-11T09:36:37
motherson,INE237A01028,11-04-2023,NSE,EQ,EQ,sell,FALSE,20,1842,52086290,1.2E+15,2023-04-11T12:11:56
motherson,INE237A01028,11-04-2023,NSE,EQ,EQ,buy,FALSE,10,1842.6,52219973,1.2E+15,2023-04-11T12:28:36
motherson,INE237A01028,11-04-2023,NSE,EQ,EQ,buy,FALSE,6,1842.6,52219970,1.2E+15,2023-04-11T12:28:36
motherson,INE237A01028,11-04-2023,NSE,EQ,EQ,buy,FALSE,2,1842.6,52219971,1.2E+15,2023-04-11T12:28:36
motherson,INE237A01028,11-04-2023,NSE,EQ,EQ,buy,FALSE,2,1842.6,52219972,1.2E+15,2023-04-11T12:28:36
motherson,INE245A01021,11-04-2023,BSE,EQ,A,sell,FALSE,12,197.45,2623100,1.6812E+18,2023-04-11T13:38:15
reliance,INE123F01029,04-05-2023,NSE,EQ,EQ,buy,FALSE,150,30.25,51728559,1.2E+15,2023-05-04T11:14:48
reliance,INE123F01029,04-05-2023,NSE,EQ,EQ,sell,FALSE,150,30.75,51734562,1.2E+15,2023-05-04T11:15:16
reliance,INE123F01029,05-05-2023,NSE,EQ,EQ,buy,FALSE,70,30.7,53211899,1.2E+15,2023-05-05T13:50:49
reliance,INE123F01029,05-05-2023,NSE,EQ,EQ,sell,FALSE,70,30.65,53608757,1.2E+15,2023-05-05T14:35:26
reliance,INE123F01029,05-05-2023,NSE,EQ,EQ,buy,FALSE,70,30.65,53969078,1.2E+15,2023-05-05T15:06:42
reliance,INE123F01029,05-05-2023,NSE,EQ,EQ,sell,FALSE,70,30.7,54022707,1.2E+15,2023-05-05T15:09:53
reliance,INE123F01029,08-05-2023,NSE,EQ,EQ,buy,FALSE,75,31.1,50332043,1.2E+15,2023-05-08T09:22:48
reliance,INE123F01029,08-05-2023,NSE,EQ,EQ,sell,FALSE,75,31.1,50653383,1.2E+15,2023-05-08T09:37:10
reliance,INE264T01014,12-05-2023,NSE,EQ,EQ,buy,FALSE,40,161.5,1629027,1E+15,2023-05-12T11:21:34
reliance,INE264T01014,12-05-2023,NSE,EQ,EQ,sell,FALSE,1,158.7,1905208,1E+15,2023-05-12T11:57:20
reliance,INE264T01014,12-05-2023,NSE,EQ,EQ,sell,FALSE,39,158.65,1905209,1E+15,2023-05-12T11:57:20
reliance,INE264T01014,12-05-2023,NSE,EQ,EQ,sell,FALSE,35,158.55,1915675,1E+15,2023-05-12T11:58:55
reliance,INE264T01014,12-05-2023,NSE,EQ,EQ,buy,FALSE,30,160.5,2277222,1E+15,2023-05-12T12:50:44
reliance,INE264T01014,12-05-2023,NSE,EQ,EQ,buy,FALSE,5,160.5,2277223,1E+15,2023-05-12T12:50:44
reliance,INE264T01014,12-05-2023,NSE,EQ,EQ,buy,FALSE,1,160.55,2279445,1E+15,2023-05-12T12:51:00
reliance,INE264T01014,12-05-2023,NSE,EQ,EQ,buy,FALSE,1,160.55,2279446,1E+15,2023-05-12T12:51:00
reliance,INE264T01014,12-05-2023,NSE,EQ,EQ,buy,FALSE,33,160.6,2279447,1E+15,2023-05-12T12:51:00
reliance,INE264T01014,12-05-2023,NSE,EQ,EQ,sell,FALSE,35,160.4,2297622,1E+15,2023-05-12T12:52:53
reliance,INE139A01034,16-06-2023,NSE,EQ,EQ,buy,FALSE,10,85.5,51341646,1.2E+15,2023-06-16T10:06:15
reliance,INE081A01020,16-06-2023,NSE,EQ,EQ,buy,FALSE,10,114.35,76250481,1.3E+15,2023-06-16T10:09:13
reliance,INE081A01020,16-06-2023,NSE,EQ,EQ,sell,FALSE,10,114.35,79653455,1.3E+15,2023-06-16T15:00:57
reliance,INE139A01034,16-06-2023,NSE,EQ,EQ,sell,FALSE,10,85.3,55093406,1.2E+15,2023-06-16T15:01:06
